logPriorICSE,-0.35667494393873245,logPriorVLDB,-1.2039728043259361
Word,Count,CountICSE,CountVLDB,CountDocICSE,CountDocVLDB,logCondProbICSE,logCondProbVLDB
013m,2,2,0,2,0,-11.054428710310258,-11.33866731138583
016m,1,1,0,1,0,-11.459893818418422,-11.33866731138583
018m,5,5,0,5,0,-10.361281529750313,-11.33866731138583
018um,1,1,0,1,0,-11.459893818418422,-11.33866731138583
025spl,1,1,0,1,0,-11.459893818418422,-11.33866731138583
035spl,1,1,0,1,0,-11.459893818418422,-11.33866731138583
035um,1,1,0,1,0,-11.459893818418422,-11.33866731138583
048AsInP,1,1,0,1,0,-11.459893818418422,-11.33866731138583
052Alsub,1,1,0,1,0,-11.459893818418422,-11.33866731138583
05spl,1,1,0,1,0,-11.459893818418422,-11.33866731138583
08V,1,1,0,1,0,-11.459893818418422,-11.33866731138583
08spl,1,1,0,1,0,-11.459893818418422,-11.33866731138583
0Complete,1,0,1,0,1,-12.153040998978367,-10.645520130825885
100mW,1,1,0,1,0,-11.459893818418422,-11.33866731138583
100mw,1,1,0,1,0,-11.459893818418422,-11.33866731138583
100nm,2,2,0,2,0,-11.054428710310258,-11.33866731138583
10A,1,1,0,1,0,-11.459893818418422,-11.33866731138583
10B,1,1,0,1,0,-11.459893818418422,-11.33866731138583
10Bit,1,1,0,1,0,-11.459893818418422,-11.33866731138583
10G,1,0,1,0,1,-12.153040998978367,-10.645520130825885
10GEPON,1,1,0,1,0,-11.459893818418422,-11.33866731138583
10GHz,1,1,0,1,0,-11.459893818418422,-11.33866731138583
10Year,1,0,1,0,1,-12.153040998978367,-10.645520130825885
10a,1,1,0,1,0,-11.459893818418422,-11.33866731138583
10b,1,1,0,1,0,-11.459893818418422,-11.33866731138583
10bit,1,1,0,1,0,-11.459893818418422,-11.33866731138583
10g,10,3,7,2,4,-10.766746637858477,-9.259225769705994
10ga0,1,1,0,1,0,-11.459893818418422,-11.33866731138583
10ghz,1,1,0,1,0,-11.459893818418422,-11.33866731138583
